ID_IBGE;ID_SNIS;MUNICIP1;MUNICIP2;UF;REGIAO;CENTRX;CENTRY;RENDAPITA;GINI;PIB;IDH;AG001;AG020;AG022;GE012;CONSUMO1;CONSUMO2;REDE;PROPREDE
5107305;510730;SO JOS DO RIO CLARO;So Jos do Rio Claro;MT;5;-56,80734;-13,55112114; 567,82;0,4858;1,752537e+05;0,754;   12268;   313,13;   1547;   17124;1,828603e+01; 25,52412800;   3828;0,777101096
5107354;510735;SO JOS DO XINGU;So Jos do Xingu;MT;5;-52,61757;-10,69606053; 608,94;0,6352;8,398875e+04;0,681;    4007;NA;NA;    5240;NA;NA;   1066;0,703630363
5107404;510740;SO PEDRO DA CIPA;So Pedro da Cipa;;5;-54,73861;-15,95454889; 462,16;0,3922;NA;NA;NA;NA;NA;NA;NA;NA;   1152;0,890262751
5107578;510757;RONDOLNDIA;Rondolndia;;5;-61,01006;-10,46250027; 370,87;0,5340;NA;NA;NA;NA;NA;NA;NA;NA;     18;0,018556701
5107602;510760;RONDONPOLIS;Rondonpolis;MT;5;-54,66847;-16,52031105; 822,25;0,5316;1,484255e+06;0,791;  190751;  9910,87;  58140;  195476;5,070121e+01; 51,95710600;  57720;0,940095769
5107701;510770;ROSRIO OESTE;Rosrio Oeste;;5;-55,93674;-14,76879563; 451,71;0,5080;NA;NA;NA;NA;NA;NA;NA;NA;   2982;0,576566125
5107743;510774;SANTA CRUZ DO XINGU;Santa Cruz do Xingu;MT;5;-52,54363;-10,06533299; 606,05;0,5630;2,511212e+04;0,000;    1567;NA;NA;    1900;NA;NA;    378;0,624793388
5107750;510775;SALTO DO CU;Salto do Cu;MT;5;-58,05004;-15,05098849; 468,42;0,4810;3,339542e+04;0,702;    3908;NA;NA;    3908;NA;NA;    716;0,558502340
5107768;510776;SANTA RITA DO TRIVELATO;Santa Rita do Trivelato;MT;5;-55,29450;-13,83232819; 688,53;0,4939;1,620128e+05;0,000;    1367;NA;    456;    2491;NA;NA;    421;0,587168759
5107776;510777;SANTA TEREZINHA;Santa Terezinha;;5;-50,79277;-10,33354593; 313,85;0,5848;NA;NA;NA;NA;NA;NA;NA;NA;    876;0,429622364
5107792;510779;SANTO ANTNIO DO LESTE;Santo Antnio do Leste;;5;-53,67100;-14,81919002; 463,97;0,4930;NA;NA;NA;NA;NA;NA;NA;NA;    596;0,583170254
5107800;510780;SANTO ANTNIO DO LEVERGER;Santo Antnio do Leverger;;5;-55,43977;-16,45689892; 427,06;0,5315;NA;NA;NA;NA;NA;NA;NA;NA;   2567;0,460613673
5107859;510785;SO FLIX DO ARAGUAIA;So Flix do Araguaia;MT;5;-51,90531;-11,69341661; 453,16;0,6234;7,339380e+04;0,726;    6916;    72,00;    429;   10625;6,776471e+00; 10,41064200;   1817;0,551776496
5107875;510787;SAPEZAL;Sapezal;MT;5;-58,65235;-13,15436876; 843,21;0,4993;6,548601e+05;0,803;   15124;  1051,00;   3653;   18094;5,808555e+01; 69,49219800;   4496;0,834137291
5107883;510788;SERRA NOVA DOURADA;Serra Nova Dourada;MT;5;-51,36179;-12,02196670; 408,25;0,4647;9,462452e+03;0,000;     818;NA;NA;    1365;NA;NA;    230;0,523917995
5107909;510790;SINOP;Sinop;MT;5;-55,50015;-11,71171516; 870,32;0,4952;8,101372e+05;0,807;   93753;  5863,00;  17178;  113099;5,183954e+01; 62,53666500;  23720;0,697236919
5107925;510792;SORRISO;Sorriso;MT;5;-55,67734;-12,74184316; 935,80;0,5556;1,144521e+06;0,824;   58364;  2509,08;  16026;   66521;3,771861e+01; 42,99019900;  17398;0,874842862
5107941;510794;TABAPOR;Tabapor;MT;5;-56,49459;-11,20832394; 529,54;0,4596;1,274970e+05;0,734;    5000;   301,00;   1203;    9932;3,030608e+01; 60,20000000;   1551;0,503081414
5107958;510795;TANGAR DA SERRA;Tangar da Serra;MT;5;-58,31769;-14,42350623; 828,55;0,5671;5,164431e+05;0,780;   76450;  3604,00;  24055;   83431;4,319737e+01; 47,14192300;  22448;0,876703769
5108006;510800;TAPURAH;Tapurah;MT;5;-56,53122;-12,56909905; 714,23;0,5586;4,219684e+05;0,783;    6526;NA;   2081;   10392;NA;NA;   1945;0,746068278
5108055;510805;TERRA NOVA DO NORTE;Terra Nova do Norte;MT;5;-54,97786;-10,50703487; 563,49;0,5086;8,525316e+04;0,748;    6208;NA;   1153;   11291;NA;NA;   1642;0,459686450
5108105;510810;TESOURO;Tesouro;;5;-53,45436;-15,90726570; 384,02;0,5188;NA;NA;NA;NA;NA;NA;NA;NA;    767;0,682991986
5108204;510820;TORIXORU;Torixoru;MT;5;-52,88971;-16,29454030; 536,21;0,5750;4,275986e+04;0,770;    3112;NA;    981;    4071;NA;NA;   1109;0,764827586
5108303;510830;UNIO DO SUL;Unio do Sul;MT;5;-54,31590;-11,52691603; 492,55;0,4627;4,013879e+04;0,768;    2338;   116,09;    719;    3760;3,087500e+01; 49,65355000;    826;0,723926380
5108352;510835;VALE DE SO DOMINGOS;Vale de So Domingos;;5;-58,96369;-14,97581394; 474,72;0,4355;NA;NA;NA;NA;NA;NA;NA;NA;    395;0,411030177
5108402;510840;VRZEA GRANDE;Vrzea Grande;MT;5;-56,28243;-15,56492715; 635,21;0,4938;1,226697e+06;0,790;  236548;  5741,94;  34703;  252596;2,273171e+01; 24,27388900;  62200;0,833322169
