ID_IBGE;UF;REGIAO;DOMICIL;REDE
1504059;PA;1;   7060;   1413
4301925;RS;4;    620;    174
2517001;PB;2;   2611;    504
4311981;RS;4;   1389;    390
4115200;PR;4; 116794; 109009
4315131;RS;4;    623;    296
1501956;NA;1;   5639;   1135
2701209;AL;2;   2879;    566
1300839;NA;1;   2223;    436
4302105;RS;4;  36513;  34235
2112407;NA;2;   7778;   1558
1506583;PA;1;   5141;   1027
2105708;MA;2;  11436;   2303
4214607;SC;4;   2174;   1045
4305173;RS;4;   3333;    827
1508357;NA;1;   2976;    615
3548708;SP;3; 239174; 234545
1101484;RO;1;   1810;    388
1300300;AM;1;   6941;   1407
2313500;CE;2;  13366;   2733
4210555;SC;4;    616;    254
5103254;MT;5;   7640;   1704
4312138;NA;4;    804;    342
3301900;RJ;3;  69422;  18750
2604155;PE;2;   3640;    755
4200705;SC;4;   2956;    805
1100098;RO;1;   8683;   2385
4323770;NA;4;    867;    655
3204559;ES;3;  10123;   2865
2102507;MA;2;   4308;    929
5105150;MT;5;  11930;   4054
1100015;RO;1;   7270;   1774
4204350;NA;4;   1113;    415
5106265;MT;5;   2242;    542
1505809;PA;1;   9606;   2052
1100031;RO;1;   1975;    474
3549904;SP;3; 189503; 183989
1502806;NA;1;   5245;   1136
2209658;PI;2;   1492;    332
4209458;SC;4;    442;    191
3536505;SP;3;  24244;  23615
4216255;SC;4;   1925;    884
4312450;RS;4;   2302;    788
3506003;SP;3; 109875; 108147
4201802;SC;4;   1067;    401
4218400;SC;4;   2118;    784
2500577;PB;2;    673;    151
1502202;PA;1;  16862;   3902
1600402;AP;1;   3539;    820
2700805;NA;2;   1303;    296
2707206;AL;2;   3329;    765
3304524;RJ;3;  34666;  21063
4216602;SC;4;  69589;  67909
4305850;NA;4;    863;    698
2922052;BA;2;   3307;    751
5102686;MT;5;   1504;   1191
3501608;SP;3;  67640;  66237
4107405;PR;4;   1936;   1021
2205565;NA;2;   1163;    273
1100908;RO;1;   1108;    284
4313359;RS;4;   1038;    794
4318432;NA;4;    855;    374
1504000;PA;1;   4888;   1140
2207793;NA;2;   1031;    242
4211652;SC;4;    816;    259
4207908;SC;4;   3133;   1113
3549805;SP;3; 137233; 121959
2603207;PE;2;   6990;   1653
4312807;RS;4;   1296;   1119
1200351;AC;1;   2750;    658
2103174;NA;2;   3946;    933
2608305;PE;2;   3973;    931
4201273;NA;4;   1339;    558
3135704;MG;3;   1589;    944
2111706;MA;2;   5143;   1232
4306502;RS;4;   4615;   1160
4313011;RS;4;    914;    898
1301506;NA;1;   3204;    764
4205100;SC;4;   1118;    569
4215455;SC;4;   3047;   1145
1302405;NA;1;   8128;   1950
5103403;MT;5; 165685; 155095
1505031;PA;1;   6923;   2314
3538709;SP;3; 112756; 110854
4322806;RS;4;   7704;   6982
4201109;NA;4;   1075;    348
4210050;SC;4;    551;    160
1200807;AC;1;   4020;    984
1501782;PA;1;  12226;   2966
4215109;SC;4;   3491;   1914
2205359;NA;2;    815;    201
1502954;PA;1;   8055;   1971
4322350;RS;4;    458;    323
